Atlanten	اقیانوس اطلس
ack	اوه، وه ، حرف تعجب و اندوه
acklamation	تحسین
acklimatisera	خو گرفتن با شرایط آب و هوا
acklimatiserade	زمان گذشته از:، خو گرفتن با شرایط آب و هوا
acklimatiserar	زمان حال از:، خو گرفتن با شرایط آب و هوا
acklimatiserat	ماضی نقلی و بعید از:، خو گرفتن با شرایط آب و هوا
acklimatisering	خو گرفتن با شرایط آب و هوا
ackommodation	همسازی، سازش با مقتضیات محیط، تطبیق
ackommodera	وفق دادن، تطبیق نمودن
ackommoderade	زمان گذشته از:، وفق دادن، تطبیق نمودن
ackommoderar	زمان حال از:، وفق دادن، تطبیق نمودن
ackommoderat	ماضی نقلی و بعید از:، وفق دادن، تطبیق نمودن
ackompanjatör	کارگر کمکی
ackompanjemang	همراهی، مشایعت
ackompanjera	همراهی کردن
ackompanjerade	زمان گذشته از:، همراهی کردن
ackompanjerar	زمان حال از:، همراهی کردن
ackompanjerat	ماضی نقلی و بعید از:، همراهی کردن
ackord	1 - پیمان، قرار داد 2 - کارمزد
ackordera	جور کردن، موافقت کردن
ackorderade	زمان گذشته از:، جور کردن، موافقت کردن
ackorderar	زمان حال از:، جور کردن، موافقت کردن
ackorderat	ماضی نقلی و بعید از:، جور کردن، موافقت کردن
ackordsarbete	کار کنتراتی
ackreditera	اعتبار نامه دادن، معتبر ساختن
ackrediterade	زمان گذشته از:، اعتبار نامه دادن، معتبر ساختن
ackrediterar	زمان حال از:، اعتبار نامه دادن، معتبر ساختن
ackrediterat	ماضی نقلی و بعید از:، اعتبار نامه دادن، معتبر ساختن
ackumulation	ذخیره، جمع آوری
ackumulativ	جمع شونده
ackumulator	جمع کننده، انباره
ackumulera	جمع کردن، ذخیره کردن
ackumulerade	زمان گذشته از:، جمع کردن، ذخیره کردن
ackumulerar	زمان حال از:، جمع کردن، ذخیره کردن
ackumulerat	ماضی نقلی و بعید از:، جمع کردن، ذخیره کردن
ackumulering	ذخیره سازی
ackurat	1 - دقیقف درست 2 - دقیقا
ackuratess	دقت، درستی
ackusativ	حالت مفعولی، مفعول
ackuschör	دکتر زایمان
ackuschörska	ماما
ackvirera	تهیه کردن، کسب کردن، فرا گرفتن
ackvirerade	زمان گذشته از:، تهیه کردن، کسب کردن، فرا گرفتن
ackvirerar	زمان حال از:، تهیه کردن، کسب کردن، فرا گرفتن
ackvirerat	ماضی نقلی و بعید از:، تهیه کردن، کسب کردن، فرا گرفتن
ackvisition	کسب، فراگیری
adagio	بآهستگی
adamsäpple	بر آمدگی حنجره، سیب آدم
adaptera	وفق دادن، موافق بودن
adaption	تطبیق، انطباق، سازش
adaptiv	قابل تطبیق
addend	عدد مضاعف
addera	جمع کردن
addition	جمع، اضافه
additionell	اضافی، افزوده
additiv	افزودنی، افزاینده
addukt	ترکیب اضافی
adduktion	نزدیک کننده
adekvat	مناسب، در خور، شایسته
adel	طبقه اعیان، نجیب
adelskap	نجابت، اصالت خانوادگی
adelsman	شخص نجیب، نجیب زاده
adelsstånd	بخش اجتماعی نجیب زادگان
adept	کار آموز واقف
adhesion	چسبیدگی، پیوستگی
adhesiv	چسبیده، چسبدار
adjektiv	صفت
adjektivisk	صفتی، وصفی
adjungera	به کمک طلبیدن
adjunkt	معلم دبیرستان
adjunktur	دبیری، معلمی
adjutant	آجودان مخصوص
adjö	خداحافظ، بدرود
adla	اصیل زاده شمردن
adlig	نجیب، اصیل
administration	اداره اجرائیات، اجرا
administrativ	اداری، اجرائی
administratör	مدیر، مجری
administrera	اداره کردن، اجرا کردن
admittans	1 - اجازه ورود - قابلیت هدایت یا گذرائی
admittera	اجازه دخول دادن
admonition	سرزنش دوستانه، تذکر
adolescens	دوره جوانی، بلوغ
adoptant	پدر یا مادر خوانده
adoptera	قبول کردن، بفرزندی پذیرفتن
adopterade	زمان گذشته از:، وفق دادن، موافق بودن
adopterar	زمان حال از:، وفق دادن، موافق بودن
adopterat	ماضی نقلی و بعید از:، وفق دادن، موافق بودن
adoption	قبول بفرزندی
adoptiv	انتخابی
adoptivbarn	بچه خوانده
adoratör	پرستنده
adress	آدرس، نشانی
adressat	گیرنده نامه
adressen	آدرس، نشانی
adresser	آدرسها، نشانیها
adressera	آدرس دادن
adresserade	زمان گذشته از:، آدرس دادن
adresserar	زمان حال از:، آدرس دادن
adresserna	آدرسها، نشانیها
adressrat	ماضی نقلی و بعید از:، آدرس دادن
adsorbera	جذب کردن سطحی
adsorberade	زمان گذشته از:، جذب کردن سطحی
adsorberar	زمان حال از:، جذب کردن سطحی
adsorberat	زمان نقلی و بعید از:، جذب کردن سطحی
adstringerande	جمع کننده، داروی قابض
aducera	حرارت زیاد دادن و بعد سرد کردن - از موادنمکی یا اسیدی آزاد کردن
aducerade	زمان گذشته از:، 1 - حرارت زیاد دادن و بعد سرد کردن - از موادنمکی یا اسیدی آزاد کردن
aducerar	زمان حال از:، 1 - حرارت زیاد دادن و بعد سرد کردن - از موادنمکی یا اسیدی آزاد کردن
aducerat	ماضی نقلی و بعید از:، 1 - حرارت زیاد دادن و بعد سرد کردن - از موادنمکی یا اسیدی آزاد کردن
advent	چهار هفته قبل از میلاد مسیح
adventiv	عارضی، اتفاقی
adverb	قید
adverbial	قیدی، ظرفی
advers	روی سکه
adversativ	کلمه یا حرف نقض
advocera	دفاع کردن، طرفداری کردن
advocerade	زمان گذشته از:، دفاع کردن، طرفداری کردن
advocerar	زمان حال از:، دفاع کردن، طرفداری کردن
advocerat	ماضی نقلی و بعید از:، دفاع کردن، طرفداری کردن
advokat	وکیل، مشاور حقوقی
advokatbyrå	دفتر وکالت
advokatorisk	مشاجره ای
aerob|aerobt	میکروب هوازی
aerodrom	فرودگاه
aerodynamik	علم حرکت گازها
aerodynamisk	مربوط به مبحث حرکت گازها
aerogram	نوعی پست هوائی
aerologi	هوا شناسی، جو شناسی
aerologisk	وابسته به هوا شناسی
aeromekanik	مکانیک هواپیما
aeronaut	هوانورد
aeronautik	هوانوردی
aeronautisk	مربوط به هوانوردی
aeroplan	هواپیما
aerosol	ذرات ریز متحرک در هوا
aerostat	بالن یا سفینه فضائی
affekt	احساس، هیجان - عواطف
affektation	وانمود، ظاهر سازی
affektera	وانمود کردن، تمایل داشتن
affektfri	بی احساس
affektion	مهر، عاطفه
affektiv	محرک، نفسانی
affirmativ	مثبت، تصدیق آمیز
affisch	اعلامیه بزرگ، عکس بزرگ
affischera	آگهی کردن از طریق اعلامیه
affischerade	زمان گذشته از:، آگهی کردن از طریق اعلامیه
affischerar	زمان حال از:، آگهی کردن از طریق اعلامیه
affischerat	ماضی نقلی و بعید از:، آگهی کردن از طریق اعلامیه
affix	ضمیمه، پیوست
affär	1 - مغازه - تجارت، معامله
affären överlåtes pga dödsfall|dödsfall	بعلت فوت مغازه واگذار میشود
affärsbank	بانک تجارتی
affärsman	تاجر، بازرگان
affärsmässig	معامله ای، دارای صورت کار عملی
afghan	اهل افغانستان
afghansk	افغانی
afrikan	اهل آفریقا
afrikansk	آفریقائی
afton	غروب، عصر
aga	1 - تنبیه بدنی - تنبیه کردن
agat	عقیق
agent	نماینده، مامور، جاسوس
agentskap	نمایندگی، عاملیت
agentur	نمایندگی
agera	ظاهر شدن، نمایش دادن
agerade	زمان گذشته از:، ظاهر شدن، نمایش دادن
agerar	زمان حال از:، ظاهر شدن، نمایش دادن
agerat	ماضی نقلی و بعید از:، ظاهر شدن، نمایش دادن
agg	بی میلی، لج
aggande	رنج آور، مضر ّ
agglutination	هم چسبی، التیام زخم
aggregat	1 - دستگاه، واحد تولید - تجمع
aggregation	اجتماع، تراکم، توده
aggression	تعرض، تجاوز - پرخاشگری
aggressiv	پرخاشگر، متجاوز، مهاجم
aggressivitet	پرخاشگری
agio	صرف پول، حق صرافی
agiotage	صرافی، دلالی برات
agitation	آشفتگی، تحریک
agitator	آشوبگر
agitatorisk	آشفته، مشوّش
agitera	آشفتن، تحریک کردن
agiterade	زمان گذشته از:، آشفتن، تحریک کردن
agiterar	زمان حال از:، آشفتن، تحریک کردن
agiterat	ماضی نقلی و بعید از:، آشفتن، تحریک کردن
agn	1 - پوست حبوبات - طعمه یا خوراک ماهی
agna	طعمه دادن، طعمه را بقلاب ماهی بستن
agnade	زمان گذشته از:، طعمه دادن، طعمه را بقلاب ماهی بستن
agnar	زمان حال از:، طعمه دادن، طعمه را بقلاب ماهی بستن
agnat	فامیل پدری، ماضی نقلی و بعید از افعال:، طعمه دادن، طعمه را بقلاب ماهی بستن
agnosticism	علم غیر ممکن، عرفای منکر
agraff	گیره قزن قفلی
agrar	کشاورز
agrarisk	مربوط به کشاورزی
agreabel	دلپذیر، مطبوع
agremang	موافقت، قبول، پیمان
agrikultur	کشاورزی، زراعت
agrikulturell	زراعتی
agronom	علم کشاورزی
ajournera	به وقت دیگر موکول کردن
ajournerade	زمان گذشته از:، به وقت دیگر موکول کردن
ajournerar	زمان حال از:، به وقت دیگر موکول کردن
ajournerat	ماضی نقلی و بعید از:، به وقت دیگر موکول کردن
ajournering	تعطیل موقّتی، تعویض
akaci	اقاقی
akacia	اقاقیا
akacieträd	درخت اقاقیا
akademi	فرهنگستان
akademiker	فارغ التحصیل - عضو آکادمی
akademisk	مربوط به دانشگاه
akantus	کنگر
akrobat	آکروبات
akrobatisk	آکروباتی - بی رنگ، رنگ ناپذیر
akt	1 - طرز عمل - توجه، احتیاط 3 - قسمتی از نمایش
akta	مواظب بودن، مراقب بودن
akta dig för all del för att ...|del	هر کاری میکنی مواظب باش که  ...
aktade	زمان گذشته از:، مواظب بودن، مراقب بودن
aktar	زمان حال از:، مواظب بودن، مراقب بودن
aktat	ماضی نقلی و بعید از:، مواظب بودن، مراقب بودن
akter	1 - در پس، در عقب - عقب کشتی
akterst	عقبی ترین قسمت کشتی
aktie	سهم
aktiebolag	شرکت سهامی
aktieägare	سهامدار
aktion	حرکت، رفتار - اقدام، عمل
aktiv	فعال، ساعی، کاری
aktiva	منابع
aktivera	فعال کردن، بکار انداختن
aktiverade	زمان گذشته از:، فعال کردن، بکار انداختن
aktiverar	زمان حال از:، فعال کردن، بکار انداختن
aktiverat	ماضی نقلی و بعید از:، فعال کردن، بکار انداختن
aktivering	ایجاد فعالیت، بکار واداری
aktivitet	فعالتف کار
aktning	احترام، توجه
aktningsfull	با ادب، مودب
aktningsfullt	محترما
aktris	هنرپیشه زن
aktsam	مواظب، مراقب، با احتیاط
aktsamhet	احتیاط، مواظبت
aktsamling	پرونده، سوابق
aktualisera	بفعل در آوردن، عملی کردن
aktualiserade	زمان گذشته از:، بفعل در آوردن، عملی کردن
aktualiserar	زمان حال از:، بفعل در آوردن، عملی کردن
aktualiserat	ماضی نقلی و بعید از:، بفعل در آوردن، عملی کردن
aktualitet	مسئله رایج، موضوع مورد بحث
aktuell	1 - فعلی، امروزی، رایج - مورد بحث
aktör	هنرپیشه، بازیگر
akupunktur	طب سوزنی
akustik	علم اصوات، علم عوارض شنوائی
akustisk	وابسته به شنوائی
akut	تیز، حاد، بحرانی، اضطراری
akutfall	مورد اضطراری، حالت بحرانی شخص بیمار
akutmottagning	اورژانس، بخش سوانح
akvarium	آبزیگاه ماهی، آکواریوم
akvedukt	کانال یا مجرای آب
al|alar|alen	درخت توسه یا توسکا
alabaster	مرمر سفید
aladåb	غذائیست از گوشت ماهی، ماهی یا سبزیجات در ژله
alarm	اخطار، آگاهی از خطر - زنگ
alarmera	هراساندن، از خطر آگاهیدن
alarmerade	زمان گذشته از:، هراساندن، از خطر آگاهیدن
alarmerar	زمان حال از:، هراساندن، از خطر آگاهیدن
alarmerat	ماضی نقلی و بعید از:، هراساندن، از خطر آگاهیدن
alarmering	آگاه سازی از خطر
alarmklocka	ساعت زنگ دار شماطه ای
alban	اهل آلبانی
albanien	آلبانی
albansk	مربوط به آلبانی
albanska	زبان آلبانی
albatross	مرغابی بزرگ دریائی
albinism	سفیدی پوست، زال تنی
albino	شخص سفید پوست و خیلی بور یا زال
album	آلبوم
albumin	سفیده تخم مرغ
albuminat	ماده سفیده تخم مرغ
albuminös	دارای آلبومین
aldrig	هرگز، هیچوقت، ابدا
alert	سرحال، هوشیار
alfa	اولین حرف یونانی
alfabet	الفبا
alfabetisera	بترتیب الفبا کردن، با سواد کردن
alfabetiserade	زمان گذشته از:، بترتیب الفبا کردن، با سواد کردن
alfabetiserar	زمان حال از:، بترتیب الفبا کردن، با سواد کردن
alfabetiserat	ماضی نقلی و بعید از:، بترتیب الفبا کردن، با سواد کردن
alfabetisk	الفبائی
alfågel	نوعی اردک مخصوص شمال اروپا
alg	جلبک
algebra	جبر
algebraisk	جبری
alger	جلبکها، گیاهان آبزی
algerier	اهل الجزایر
algerisk	الجزایری
algolog	محقق جلبکها
algoritm	محاسبه عددی، حساب رقمی
alias	مستعارا، مجازا
alibi	تبوت غیبت از محل جرم
alienation	بیگانگی، احساس غریبی
alienera	از خود بیخود شدن
alienerade	زمان گذشته از:، از خود بیخود شدن
alienerar	زمان حال از:، از خود بیخود شدن
alienerat	ماضی نقلی و بعید از:، از خود بیخود شدن
alimentär	غذائی، رزقی
alkali	فلزات قلیائی
alkalisera	قلیائی کردن
alkaloid	شبه قلیا
alkemi	کیمیاگری، هنر تبدیل غیر طلا به طلا
alkemist	طلاساز، کیمیاگر
alkohol	الکل
alkohol dispensär|dispensär	درمانگاه معتادین به الکل
alkoholfri	غیر الکلی
alkoholhaltig	دارای الکل
alkoholiserad	الکلی شده
alkoholisk	الکلی
alkoholist	شخص دائم الخمر
alkoholpåverkad	متاثر از الکل
alkov	شاه نشین، آلاچیق
all	همه، همه چیز، تمامی - هر
alla	همه، همه چیز، تمامی - هر
allbekant	آشنا، که همه میشناسند
alldaglig	روزمره، تکراری
alldeles	کاملا، کلا
alldenstund	بهمان اندازه
allegori	تمثیل، کنایه
allegorisk	تمثیلی، مجازی، کنایه ای
